PVI;Station;Easting;Northing;elev_exist;elev_des;elev_dif;d_northAxe
159;36090;182753.42230000000;653842.69200000000;54.47300000000;21.72200000000;32.75100000000;-13.50003809800
160;36100;182756.28450000000;653833.11040000000;54.33800000000;21.82200000000;32.51600000000;-13.50003040280
161;36110;182759.14670000000;653823.52870000000;54.36700000000;21.92200000000;32.44500000000;-13.50005132960
162;36120;182762.00890000000;653813.94710000000;54.49200000000;22.02200000000;32.47000000000;-13.50004363440
163;36130;182764.87110000000;653804.36550000000;54.44300000000;22.12200000000;32.32000000000;-13.50003593920
164;36140;182767.73340000000;653794.78380000000;54.63800000000;22.22200000000;32.41500000000;-13.49996104960
165;36150;182770.59560000000;653785.20220000000;54.86400000000;22.32200000000;32.54200000000;-13.49995335430
166;36160;182773.45780000000;653775.62050000000;55.11400000000;22.42200000000;32.69100000000;-13.49997428110
167;36170;182776.32000000000;653766.03890000000;55.34700000000;22.52200000000;32.82400000000;-13.49996658580
168;36180;182779.18220000000;653756.45730000000;55.53800000000;22.62200000000;32.91600000000;-13.49995889060
169;36190;182782.04440000000;653746.87560000000;55.49700000000;22.72200000000;32.77500000000;-13.49997981730
170;36200;182784.90660000000;653737.29400000000;55.46300000000;22.82200000000;32.64100000000;-13.49997212220
171;36210;182787.76880000000;653727.71240000000;55.65000000000;22.92200000000;32.72700000000;-13.49996442690
172;36220;182790.63100000000;653718.13070000000;55.98300000000;23.02200000000;32.96100000000;-13.49998535370
173;36230;182793.49320000000;653708.54910000000;56.17700000000;23.12200000000;33.05500000000;-13.49997765850
174;36240;182796.35540000000;653698.96740000000;56.16600000000;23.22200000000;32.94300000000;-13.49999858520
175;36250;182799.21760000000;653689.38580000000;56.02700000000;23.32200000000;32.70500000000;-13.49999089000
176;36260;182802.07980000000;653679.80420000000;55.99200000000;23.42200000000;32.57000000000;-13.49998319480
177;36270;182804.94200000000;653670.22250000000;56.43800000000;23.52200000000;32.91500000000;-13.50000412150
178;36280;182807.80420000000;653660.64090000000;56.86800000000;23.62200000000;33.24600000000;-13.49999642630
179;36290;182810.66640000000;653651.05930000000;57.17900000000;23.72200000000;33.45600000000;-13.49998873110
180;36300;182813.53560000000;653641.47970000000;57.65000000000;23.82200000000;33.82800000000;-13.50026812760
181;36310;182816.45790000000;653631.91630000000;58.24600000000;23.92200000000;34.32400000000;-13.50848299330
182;36320;182819.49250000000;653622.38790000000;58.71900000000;24.02200000000;34.69700000000;-13.51113029400
183;36330;182822.69810000000;653612.91580000000;58.97500000000;24.12200000000;34.85300000000;-13.51771272270
184;36340;182826.13160000000;653603.52410000000;59.21100000000;24.22200000000;34.98900000000;-13.54558804500
185;36350;182829.82480000000;653594.23140000000;59.70500000000;24.32200000000;35.38300000000;-13.52363234780
186;36360;182833.77700000000;653585.04590000000;60.00900000000;24.42200000000;35.58600000000;-13.52256262420
187;36370;182837.98510000000;653575.97480000000;60.10400000000;24.52200000000;35.58200000000;-13.54512563840
188;36380;182842.44580000000;653567.02510000000;59.84300000000;24.62200000000;35.22100000000;-13.55668524710
189;36390;182847.15550000000;653558.20400000000;59.60000000000;24.72200000000;34.87800000000;-13.55725261960
190;36400;182852.11070000000;653549.51840000000;59.27500000000;24.83200000000;34.44300000000;-13.54666190120
191;36410;182857.30730000000;653540.97510000000;58.80700000000;24.96100000000;33.84600000000;-13.52510347380
192;36420;182862.74130000000;653532.58080000000;58.43900000000;25.11000000000;33.32900000000;-13.52169590170
193;36430;182868.40840000000;653524.34200000000;57.64000000000;25.27700000000;32.36300000000;-13.54477707400
194;36440;182874.30430000000;653516.26530000000;56.29000000000;25.44700000000;30.84200000000;-13.55671128990
195;36450;182880.42420000000;653508.35710000000;55.60900000000;25.61700000000;29.99100000000;-13.55759983370
196;36460;182886.76330000000;653500.62350000000;56.17600000000;25.78700000000;30.38800000000;-13.54750053130
197;36470;182893.31670000000;653493.07060000000;56.18900000000;25.95700000000;30.23200000000;-13.52633781050
198;36480;182900.07920000000;653485.70430000000;55.38400000000;26.12700000000;29.25700000000;-13.52060409330
199;36490;182907.04550000000;653478.53040000000;55.25800000000;26.29700000000;28.96000000000;-13.54405160280
200;36500;182914.21010000000;653471.55470000000;55.42500000000;26.46700000000;28.95800000000;-13.55638453680
201;36510;182921.56750000000;653464.78240000000;55.61300000000;26.63700000000;28.97600000000;-13.55771487490
202;36520;182929.11170000000;653458.21910000000;55.62300000000;26.80700000000;28.81500000000;-13.54798603680
203;36530;182936.83690000000;653451.86970000000;55.35100000000;26.97700000000;28.37400000000;-13.52730525940
204;36540;182944.73710000000;653445.73940000000;55.41900000000;27.14700000000;28.27200000000;-13.51914225110
205;36550;182952.80600000000;653439.83290000000;55.45900000000;27.31700000000;28.14100000000;-13.54292660160
206;36560;182961.03720000000;653434.15480000000;55.50800000000;27.48700000000;28.02100000000;-13.55577343320
207;36570;182969.42430000000;653428.70970000000;55.71300000000;27.65700000000;28.05600000000;-13.55752678120
208;36580;182977.96080000000;653423.50180000000;55.91300000000;27.82700000000;28.08600000000;-13.54820477160
209;36590;182986.63990000000;653418.53520000000;56.09600000000;27.99700000000;28.09900000000;-13.51652290820
210;36600;182995.44910000000;653413.80320000000;56.27600000000;28.16700000000;28.10800000000;-13.50798855310
211;36610;183004.35820000000;653409.26170000000;56.38900000000;28.33700000000;28.05200000000;-13.51205500610
212;36620;183013.33570000000;653404.85670000000;56.42300000000;28.50700000000;27.91600000000;-13.50266263800
213;36630;183022.35270000000;653400.53310000000;56.40600000000;28.67700000000;27.72900000000;-13.50010653140
214;36640;183031.38260000000;653396.23650000000;56.38400000000;28.84700000000;27.53600000000;-13.49999510490
215;36650;183040.41290000000;653391.94070000000;56.42300000000;29.01700000000;27.40500000000;-13.50001082520
216;36660;183049.44320000000;653387.64490000000;56.56200000000;29.18700000000;27.37400000000;-13.50002654560
217;36670;183058.47350000000;653383.34920000000;56.75700000000;29.35700000000;27.40000000000;-13.49995196280
218;36680;183067.50380000000;653379.05340000000;56.89300000000;29.52700000000;27.36600000000;-13.49996768320
219;36690;183076.53410000000;653374.75760000000;56.94400000000;29.69700000000;27.24700000000;-13.49998340340
220;36700;183085.56440000000;653370.46180000000;57.23500000000;29.86700000000;27.36800000000;-13.49999912380
221;36710;183094.59470000000;653366.16600000000;57.42900000000;30.03700000000;27.39200000000;-13.50001484420
222;36720;183103.62500000000;653361.87020000000;57.67100000000;30.20700000000;27.46400000000;-13.50003056440
223;36730;183112.65530000000;653357.57450000000;58.00300000000;30.37700000000;27.62600000000;-13.49995598180
224;36740;183121.68560000000;653353.27870000000;58.33100000000;30.54700000000;27.78300000000;-13.49997170200
225;36750;183130.71590000000;653348.98290000000;58.68800000000;30.71700000000;27.97000000000;-13.49998742240
226;36760;183139.74620000000;653344.68710000000;58.92000000000;30.88700000000;28.03200000000;-13.50000314270
227;36770;183148.77650000000;653340.39130000000;58.93500000000;31.05800000000;27.87700000000;-13.50001886300
228;36780;183157.80680000000;653336.09560000000;58.94800000000;31.22400000000;27.72300000000;-13.49994428040
229;36790;183166.83700000000;653331.79980000000;59.24000000000;31.36400000000;27.87600000000;-13.50000295840
230;36800;183175.86730000000;653327.50400000000;59.47400000000;31.47100000000;28.00200000000;-13.50001867880
231;36810;183184.89760000000;653323.20820000000;59.55800000000;31.54600000000;28.01200000000;-13.50003439900
232;36820;183193.92790000000;653318.91240000000;59.78400000000;31.58900000000;28.19500000000;-13.50005011930
233;36830;183202.95820000000;653314.61670000000;60.29600000000;31.60000000000;28.69600000000;-13.49997553670
234;36840;183211.98850000000;653310.32090000000;61.00400000000;31.60000000000;29.40400000000;-13.49999125700
235;36850;183221.01880000000;653306.02510000000;60.40300000000;31.60000000000;28.80300000000;-13.50000697730
236;36860;183230.04910000000;653301.72930000000;60.59600000000;31.60000000000;28.99600000000;-13.50002269750
237;36870;183239.07940000000;653297.43350000000;60.89900000000;31.60000000000;29.29900000000;-13.50003841790
238;36880;183248.10970000000;653293.13770000000;61.03100000000;31.60000000000;29.43100000000;-13.50005413830
239;36890;183257.14000000000;653288.84200000000;60.72500000000;31.60000000000;29.12500000000;-13.49997955570
240;36900;183266.17030000000;653284.54620000000;61.01300000000;31.60000000000;29.41300000000;-13.49999527600
241;36910;183275.20060000000;653280.25040000000;61.60400000000;31.60000000000;30.00400000000;-13.50001099620
242;36920;183284.23090000000;653275.95460000000;61.86500000000;31.60000000000;30.26500000000;-13.50002671640
243;36930;183293.26120000000;653271.65880000000;62.14600000000;31.60000000000;30.54600000000;-13.50004243680
244;36940;183302.29150000000;653267.36310000000;62.17900000000;31.60000000000;30.57900000000;-13.49996785420
245;36950;183311.32180000000;653263.06730000000;61.91000000000;31.60000000000;30.31000000000;-13.49998357450
246;36960;183320.35210000000;653258.77150000000;62.50500000000;31.60000000000;30.90500000000;-13.49999929470
247;36970;183329.38240000000;653254.47570000000;62.72100000000;31.60000000000;31.12100000000;-13.50001501500
248;36980;183338.41270000000;653250.17990000000;62.93400000000;31.60000000000;31.33400000000;-13.50003073540
249;36990;183347.44300000000;653245.88420000000;63.07100000000;31.60000000000;31.47100000000;-13.49995615270
250;37000;183356.47330000000;653241.58840000000;63.15500000000;31.60000000000;31.55500000000;-13.49997187300
251;37010;183365.50360000000;653237.29260000000;63.22900000000;31.60000000000;31.62900000000;-13.49998759320
252;37020;183374.53390000000;653232.99680000000;63.36900000000;31.60000000000;31.76900000000;-13.50000331360
253;37030;183383.56420000000;653228.70100000000;63.55900000000;31.59900000000;31.96000000000;-13.50001903390
254;37040;183392.59450000000;653224.40530000000;63.79800000000;31.59000000000;32.20700000000;-13.49994445120
255;37050;183401.62480000000;653220.10950000000;63.93500000000;31.57200000000;32.36400000000;-13.49996017150
256;37060;183410.65510000000;653215.81370000000;64.05200000000;31.54300000000;32.50900000000;-13.49997589190
257;37070;183419.68540000000;653211.51790000000;64.17800000000;31.50400000000;32.67400000000;-13.49999161220
258;37080;183428.71570000000;653207.22210000000;64.38100000000;31.45600000000;32.92500000000;-13.50000733250
259;37090;183437.74600000000;653202.92630000000;64.72400000000;31.40600000000;33.31800000000;-13.50002305280
260;37100;183446.77630000000;653198.63060000000;64.93300000000;31.35600000000;33.57700000000;-13.49994847020
261;37110;183455.80650000000;653194.33470000000;64.98900000000;31.30600000000;33.68300000000;-13.49841106120
262;37120;183464.82800000000;653190.02040000000;65.06300000000;31.25600000000;33.80700000000;-13.49439960660
263;37130;183473.81130000000;653185.62750000000;64.98200000000;31.20600000000;33.77600000000;-13.49820879620
264;37140;183482.72270000000;653181.09060000000;65.23600000000;31.15600000000;34.08000000000;-13.46739459730
265;37150;183491.53500000000;653176.36400000000;65.64000000000;31.10600000000;34.53400000000;-13.46066125510
266;37160;183500.24080000000;653171.44410000000;65.60300000000;31.05600000000;34.54700000000;-13.43674378160
267;37170;183508.83590000000;653166.33340000000;65.78200000000;31.00600000000;34.77600000000;-13.47363584120
268;37180;183517.31630000000;653161.03440000000;65.83100000000;30.95600000000;34.87500000000;-13.45571693330
269;37190;183525.67760000000;653155.54950000000;66.00500000000;30.90600000000;35.09900000000;-13.43761231600
270;37200;183533.91590000000;653149.88150000000;66.27000000000;30.85600000000;35.41400000000;-13.48030693820
271;37210;183542.02720000000;653144.03310000000;66.32900000000;30.81200000000;35.51700000000;-13.45141157570
272;37220;183550.00740000000;653138.00720000000;66.12600000000;30.78700000000;35.33900000000;-13.43913105670
273;37230;183557.85280000000;653131.80680000000;66.42400000000;30.78200000000;35.64200000000;-13.48757559420
274;37240;183565.55950000000;653125.43470000000;67.11200000000;30.79700000000;36.31400000000;-13.44761846920
